GTCBSA,HEHOUSUT,HETENURE,HEFAMINC,PEEDUCA,PEMLR,PESEX,PEMARITL,PWCMPWGT,HRNUMHOU,PWFMWGT,PWLGWGT,PWORWGT,PWSSWGT,Year,Month
0,1,1,1,39,6,1,6,1937.1562,1,1883.6102,2664.7076,8079.0592,1883.6102,2013,jan
10580,1,2,2,39,3,1,1,5531.9206,4,3353.7917,0.0000,0.0000,5659.2439,2013,jan
0,1,-1,7,44,5,2,4,2971.0458,1,2903.2123,4311.0409,0.0000,2903.2123,2024,jan
21340,1,1,11,42,2,2,1,2647.6283,4,2727.1781,3856.3416,10917.1193,2727.1781,2010,jan
0,1,-1,9,40,5,2,1,615.7268,3,593.8778,0.0000,0.0000,593.8778,2024,jan
14460,1,2,1,39,6,1,6,3954.7270,1,3780.9171,0.0000,0.0000,3780.9171,2022,jan
0,1,2,2,37,6,2,6,2144.2916,2,2142.5163,3013.3013,0.0000,2142.5163,2011,jan
0,1,1,12,40,1,1,4,525.4747,4,516.0625,730.0638,0.0000,516.0625,2013,jan
17660,1,1,9,43,5,2,3,792.1576,1,793.3782,1139.1047,0.0000,793.3782,2016,jan
14460,1,1,16,44,1,2,1,2488.7346,5,2461.5487,0.0000,0.0000,2461.5487,2016,jan
35620,1,-1,16,43,2,2,6,5042.2513,3,5179.2735,7690.8120,20027.5045,5179.2735,2024,jan
13780,1,1,16,43,5,2,1,3059.2250,4,3169.5420,4475.0890,0.0000,3169.5420,2013,jan
0,1,1,15,43,1,2,1,370.5340,5,380.2987,543.9454,0.0000,380.2987,2018,jan
38900,1,1,16,44,1,1,4,2004.7332,3,2008.6329,0.0000,0.0000,2008.6329,2017,jan
30780,1,1,10,-1,-1,1,-1,0.0000,3,901.7336,0.0000,0.0000,901.7336,2023,jan
37980,1,-1,9,37,7,1,6,5852.5217,5,5123.2518,7593.3969,0.0000,5123.2518,2024,jan
0,1,1,14,39,1,2,1,332.4985,5,331.8473,0.0000,0.0000,331.8473,2015,jan
77200,1,2,6,42,1,1,6,359.5865,1,363.0103,519.5425,0.0000,363.0103,2015,jan
40060,1,2,16,43,1,2,1,2575.0766,4,2615.6332,3746.0549,10203.5324,2615.6332,2015,jan
0,1,1,14,42,1,2,1,1801.4737,4,1809.8242,2545.3929,0.0000,1809.8242,2011,jan
41180,1,1,16,-1,-1,1,-1,0.0000,4,2677.8445,0.0000,0.0000,2677.8445,2015,jan
42660,1,1,14,43,7,2,6,4169.1068,3,4153.3641,0.0000,0.0000,4153.3641,2023,jan
0,5,1,7,44,1,1,6,2126.7986,5,2152.2624,3043.7983,0.0000,2152.2624,2010,jan
39580,1,-1,16,-1,-1,1,-1,0.0000,3,5923.9594,0.0000,0.0000,5923.9594,2024,jan
48620,1,1,13,39,1,1,1,1076.1568,6,1205.0382,0.0000,0.0000,1069.0045,2011,jan
33460,1,1,16,40,1,2,1,3558.3563,3,3692.2005,5331.5301,0.0000,3692.2005,2017,jan
41940,1,1,16,44,1,1,6,4716.2569,2,4713.1012,0.0000,0.0000,4713.1012,2023,jan
42660,1,1,4,43,7,1,4,2373.6004,2,2387.2483,0.0000,0.0000,2387.2483,2013,jan
27260,1,1,13,37,1,1,6,3260.0260,2,3243.2177,4682.9696,0.0000,3243.2177,2017,jan
40140,1,1,9,-1,-1,2,-1,0.0000,6,3215.3510,0.0000,0.0000,3215.3510,2011,jan
25420,1,2,12,42,1,2,6,2889.8615,1,2906.6387,4108.1937,0.0000,2906.6387,2014,jan
0,1,2,2,43,5,1,2,403.5686,1,393.8084,588.6254,0.0000,393.8084,2021,jan
0,1,1,12,39,5,1,1,1835.0061,2,1794.8948,2646.6018,0.0000,1785.6613,2023,jan
43620,1,1,15,-1,-1,1,-1,0.0000,5,628.5485,0.0000,0.0000,628.5485,2017,jan
0,1,1,13,39,5,2,1,894.5009,2,923.6099,1333.6909,0.0000,923.6099,2017,jan
47900,1,1,16,-1,-1,2,-1,0.0000,6,3451.6981,0.0000,0.0000,3451.6981,2022,jan
24340,1,1,11,40,1,2,4,3056.3492,1,3144.9256,0.0000,0.0000,3144.9256,2015,jan
0,1,1,16,-1,-1,1,-1,0.0000,4,455.9859,0.0000,0.0000,455.9859,2010,jan
33100,1,1,8,41,1,1,6,3047.7314,1,3092.6298,0.0000,0.0000,3092.6298,2011,jan
46520,1,1,7,39,5,1,1,700.5836,2,632.5755,990.5106,0.0000,685.9838,2017,jan
16060,1,1,13,46,5,1,1,3034.4571,2,3399.7925,4347.1807,0.0000,3010.6651,2017,jan
17300,1,1,14,43,7,2,3,3596.5224,3,3701.8390,5364.1203,0.0000,3701.8390,2019,jan
0,1,3,10,40,1,1,1,531.5997,4,542.4797,762.7531,0.0000,532.9443,2015,jan
31080,1,2,14,-1,-1,2,-1,0.0000,4,2641.8739,0.0000,0.0000,2641.8739,2016,jan
14460,1,-1,3,40,6,1,6,3500.6559,2,3298.2579,4888.4931,0.0000,3298.2579,2024,jan
0,1,2,2,-1,-1,2,-1,0.0000,6,2579.2651,0.0000,0.0000,2579.2651,2018,jan
20100,1,2,15,37,1,2,4,570.4677,7,572.5557,826.7693,0.0000,572.5557,2017,jan
0,1,1,13,38,5,2,1,2896.6364,8,2906.3152,0.0000,0.0000,2906.3152,2022,jan
25540,1,2,15,-1,-1,2,-1,0.0000,4,3639.2912,0.0000,0.0000,3639.2912,2018,jan
38900,5,2,4,33,5,1,3,2864.9193,1,2864.5626,4028.5977,11291.5467,2864.5626,2011,jan
0,1,1,13,-1,-1,1,-1,0.0000,4,1393.8006,0.0000,0.0000,1393.8006,2022,jan
22220,1,2,9,-1,-1,2,-1,0.0000,7,2882.7123,0.0000,0.0000,2882.7123,2014,jan
12580,1,1,16,39,7,2,1,3345.0779,3,3181.4638,0.0000,0.0000,3181.4638,2016,jan
31100,1,1,13,-1,-1,1,-1,0.0000,5,3957.0058,0.0000,0.0000,3957.0058,2013,jan
26420,1,1,15,43,5,1,1,3480.0345,3,3247.7659,4879.4426,0.0000,3379.2862,2017,jan
41700,1,2,1,39,5,2,4,3421.2667,2,3398.4116,0.0000,0.0000,3398.4116,2023,jan
37980,1,2,9,-1,-1,1,-1,0.0000,6,367.2636,0.0000,0.0000,367.2636,2011,jan
15940,1,1,11,-1,-1,2,-1,0.0000,7,3195.7913,0.0000,0.0000,3195.7913,2014,jan
19300,1,2,11,-1,-1,1,-1,0.0000,3,3494.9942,0.0000,0.0000,3494.9942,2023,jan
0,1,-1,15,42,5,2,1,4396.9364,2,4462.0462,6625.7861,17421.2601,4462.0462,2024,jan
22020,1,-1,16,34,7,1,6,569.3848,6,555.0534,822.6690,2195.7847,555.0534,2024,jan
31080,1,2,9,43,1,1,1,2740.2580,2,2841.3160,4092.1475,10797.3948,2822.3751,2019,jan
21140,1,2,14,-1,-1,2,-1,0.0000,6,2895.9750,0.0000,0.0000,2895.9750,2016,jan
18140,1,2,3,-1,-1,2,-1,0.0000,6,3445.7368,0.0000,0.0000,3445.7368,2016,jan
38300,1,2,4,35,7,2,6,0.0000,6,2216.0948,0.0000,0.0000,2216.0948,2016,jan
46520,1,-1,15,43,5,1,1,822.6048,2,962.6986,1193.2607,3344.9381,805.0909,2024,jan
35620,1,1,16,39,1,2,4,4521.1197,2,4583.7793,0.0000,0.0000,4583.7793,2023,jan
71950,1,1,16,-1,-1,2,-1,0.0000,5,944.2941,0.0000,0.0000,944.2941,2010,jan
27140,1,1,13,-1,-1,2,-1,0.0000,4,1147.6845,0.0000,0.0000,1147.6845,2017,jan
29820,1,1,11,40,7,1,1,1347.1955,2,1200.4017,1943.5706,0.0000,1357.9950,2015,jan
19820,1,1,4,39,5,2,1,3334.4873,2,3340.2681,0.0000,0.0000,3340.2681,2012,jan
26420,1,-1,14,43,7,2,1,6152.0359,3,6200.3451,9207.0227,0.0000,6200.3451,2024,jan
27980,1,-1,11,-1,-1,2,-1,0.0000,5,1014.3290,0.0000,0.0000,1014.3290,2024,jan
31700,1,1,15,-1,-1,1,-1,0.0000,5,558.7747,0.0000,0.0000,558.7747,2018,jan
12580,1,1,16,43,1,1,1,1440.8651,2,1365.0426,2019.9388,0.0000,1427.8405,2013,jan
0,1,2,13,-1,-1,1,-1,0.0000,3,484.6939,0.0000,0.0000,484.6939,2017,jan
0,1,1,8,36,7,2,6,892.3742,3,896.3224,1286.9083,3586.1888,896.3224,2016,jan
19100,1,1,12,-1,-1,1,-1,0.0000,4,3009.2732,0.0000,0.0000,3009.2732,2012,jan
12580,1,1,15,40,5,2,1,1479.5773,3,1437.0175,2026.8917,5907.2715,1437.0175,2012,jan
38860,1,2,5,39,5,2,4,1049.1691,1,1083.3114,1564.2995,0.0000,1083.3114,2017,jan
39900,1,1,13,43,1,1,6,1209.2861,1,1206.1637,1705.7953,4877.4682,1206.1637,2010,jan
10580,1,-1,15,43,5,1,1,4043.5600,2,3585.3668,6119.5447,16442.2312,4128.8462,2024,jan
19100,1,1,5,39,5,2,3,3147.4342,1,3073.3019,4345.7749,12554.1392,3073.3019,2010,jan
37980,1,1,16,46,1,2,1,2646.0009,4,2633.7133,3771.9489,0.0000,2633.7133,2015,jan
19780,1,1,14,42,1,2,1,1896.2548,2,1886.6280,2722.6230,0.0000,1886.6280,2020,jan
47260,1,1,12,40,6,2,3,3867.5895,5,3902.6027,5603.2204,0.0000,3902.6027,2016,jan
12580,1,1,16,46,1,2,1,2814.4422,4,2866.8163,4116.0745,11037.3500,2866.8163,2016,jan
